Var 1	Var 2	Var 3	Var 4	Var 5	Var 6	Var 7	Var 8	Var 9	Var 10	Var 11	Var 12	Var 13	Var 14	Var 15	Var 16	Var 17	Var 18	Var 19	Var 20	Var 21	Var 22	Var 23	Var 24	Var 25	Var 26	Var 27	Var 28	Var 29	Var 30	Var 31	Var 32	Var 33	Var 34	Var 35	Var 36	Var 37	Var 38	Var 39	Var 40	Var 41	Var 42	Var 43	Var 44
0.6137960629	0.0945998161	0.2288001356	0.5043731778	0.5330634278	0.6135310473	0.32	0.0909090909	0.1162790698	0.0752707913	0.2200190355	0.7272727273	0.3057344064	0.3387096774	0.6615384615	0.5322847682	0.2877671334	0.1909722222	0.3182350644	0.4332874828	0.0460784314	0.0501989013	0.1246155599	0.6546099291	0.04296875	0.5537444934	0.6025925294	0.1110427182	0.4044789762	0.6451905626	0.3525280899	0.0326586937	0.2767578125	0.2144017325	0.6598984772	0.4163231657	0.0570409982	0.0394736842	0.0780856423	0.0602739726	0.4331210191	0.4519230769	1	0
0.4153301507	0.0786111148	0.235318658	0.3586005831	0.3279352227	0.594068582	0.3	0.0743801653	0.0891472868	0.0665503947	0.2220019036	0.696969697	0.317806841	0.3548387097	0.6461538462	0.4395695364	0.3187177598	0.2222222222	0.3224001041	0.5522696011	0.2029411765	0.5315400644	0.1060485249	0.6409929078	0.04296875	0.5480176211	0.5884359543	0.1019327835	0.407678245	0.610707804	0.3735955056	0	0.2798828125	0.2160259881	0.6446700508	0.4192085738	0.0677361854	0.0342105263	0.0881612091	0.0757990868	0.4076433121	0.4519230769	1	0
0.2222281822	0.0999293832	0.2431408848	0.2827988338	0.2105263158	0.5996292864	0.31	0.0743801653	0.1085271318	0.1575178998	0.2910850254	0.7272727273	0.3057344064	0.3225806452	0.6615384615	0.4544701987	0.3161385409	0.2222222222	0.3143303397	0.507565337	0.2294117647	0.1839363516	0.1168698029	0.6358865248	0.0390625	0.5497797357	0.5817840696	0.1133817555	0.3871115174	0.5889292196	0.3848314607	0.0216191352	0.2888671875	0.2490525176	0.6446700508	0.4348722176	0.0980392157	0.0421052632	0.1057934509	0.1123287671	0.4076433121	0.4519230769	0	0.3333333333
0.3348709972	0.1478954872	0.2509631117	0.3483965015	0.3090418354	0.5987025023	0.3	0.0578512397	0.1162790698	0.1634844869	0.3040133249	0.7272727273	0.3155935614	0.3387096774	0.6615384615	0.4064569536	0.3268238762	0.2222222222	0.3238318365	0.6045392022	0.2715686275	0.1831786323	0.0987584007	0.6178723404	0.03515625	0.5334801762	0.5666041276	0.1096885387	0.3724862888	0.5635208711	0.4073033708	0.0303587856	0.2951171875	0.2257715214	0.6598984772	0.4340478153	0.1265597148	0.0578947368	0.1435768262	0.1406392694	0.4140127389	0.4519230769	0	0.3333333333
0.5011532479	0.1758757145	0.2542223729	0.4387755102	0.4588394062	0.5792400371	0.28	0.0578512397	0.1705426357	0.1590783918	0.2978267766	0.696969697	0.3125754527	0.3387096774	0.6461538462	0.4337748344	0.3106116433	0.2083333333	0.3201874268	0.462173315	0.1264705882	0.0644061375	0.0744959563	0.6070921986	0.015625	0.527753304	0.5567115811	0.0945463499	0.3510054845	0.5499092559	0.4255617978	0.0013799448	0.2984375	0.2144017325	0.6421319797	0.4282769992	0.137254902	0.0631578947	0.1460957179	0.1296803653	0.4012738854	0.4519230769	0	0.3333333333
0.5172450786	0.1518926625	0.2555260773	0.4606413994	0.5047233468	0.562557924	0.26	0.0578512397	0.0930232558	0.1773453277	0.3336770305	0.7272727273	0.3381287726	0.3548387097	0.6461538462	0.4031456954	0.3452468681	0.2534722222	0.3265651438	0.4580467675	0.1137254902	0.0831596893	0.0689144549	0.5953191489	0	0.5431718062	0.5372676104	0.100578604	0.3514625229	0.5372050817	0.4662921348	9.199632014719411E-4	0.3099609375	0.2014076881	0.6395939086	0.4220939819	0.0819964349	0.0605263158	0.1360201511	0.0867579909	0.4203821656	0.4519230769	0.3333333333	0.3333333333
0.4475138122	0.1212476517	0.2613927475	0.4023323615	0.4278002699	0.5449490269	0.25	0.0578512397	0.0891472868	0.169175693	0.3357392132	0.7272727273	0.3496981891	0.3709677419	0.6307692308	0.5637417219	0.334193073	0.2395833333	0.3649616035	0.5337001376	0.0715686275	0.053608638	0.0678892812	0.5906382979	0.01171875	0.550660793	0.5282278697	0.1069801797	0.3331809872	0.5245009074	0.4901685393	0.0197792088	0.3171875	0.2051976178	0.6497461929	0.4105523495	0.0695187166	0.0631578947	0.1108312343	0.0721461187	0.4076433121	0.4519230769	0.3333333333	0.3333333333
0.2973233922	0.1145856928	0.2672594176	0.3163265306	0.3117408907	0.531047266	0.22	0.0495867769	0.0697674419	0.1917569304	0.379838198	0.7575757576	0.3807847082	0.4032258065	0.6307692308	0.4958609272	0.3761974945	0.2708333333	0.3494728622	0.5261348006	0.0754901961	0.0613752605	0.0678892812	0.5846808511	0.0234375	0.5581497797	0.5176530786	0.1073495014	0.3203839122	0.5145190563	0.4859550562	0.0285188592	0.3173828125	0.2208987547	0.6395939086	0.4266281946	0.0855614973	0.0578947368	0.1360201511	0.0821917808	0.4203821656	0.4519230769	0.3333333333	0.3333333333
0.1095853672	0.1119209092	0.2750816445	0.2186588921	0.1781376518	0.5189990732	0.18	0.041322314	0.0697674419	0.1627501377	0.3345494924	0.6666666667	0.3551307847	0.3870967742	0.6	0.3418874172	0.3286661754	0.2638888889	0.3458284524	0.4766162311	0.031372549	0.0358022353	0.070736986	0.5733333333	0.01953125	0.5634361233	0.5021320143	0.1169518651	0.3112431444	0.5090744102	0.5084269663	0.0561177553	0.31796875	0.2328099621	0.6472081218	0.4377576257	0.0944741533	0.0552631579	0.1435768262	0.0922374429	0.4203821656	0.4519230769	0.6666666667	0.3333333333
0.1578608593	0.1332391776	0.2796446102	0.2448979592	0.2307692308	0.4986098239	0.16	0.0330578512	0.0813953488	0.1696346613	0.3313769036	0.6363636364	0.3435613682	0.3709677419	0.6	0.4089403974	0.3319823139	0.2465277778	0.3509045946	0.643741403	0.0107843137	0.0193218413	0.0656111174	0.5730496454	0.015625	0.5744493392	0.4976974245	0.1211375108	0.3203839122	0.499092559	0.5140449438	0.0492180313	0.31875	0.2512181917	0.6421319797	0.4060181369	0.0944741533	0.0552631579	0.1435768262	0.098630137	0.4140127389	0.4519230769	0.6666666667	0.3333333333
0.4206940943	0.1465630954	0.2855112803	0.3775510204	0.4372469636	0.4921223355	0.13	0.0247933884	0.0620155039	0.1751422802	0.3381186548	0.6363636364	0.3460764588	0.3709677419	0.5846153846	0.3286423841	0.3872512896	0.2569444444	0.3463490824	0.3287482806	0.0166666667	0.0344762266	0.0780271101	0.5721985816	0.015625	0.5845814978	0.4927511513	0.1416964176	0.3377513711	0.498185118	0.518258427	0.0749770009	0.3255859375	0.2680021657	0.654822335	0.3845836768	0.0855614973	0.0657894737	0.1360201511	0.0840182648	0.4331210191	0.4519230769	0.6666666667	0.3333333333
