Control	Regional Code	Program Size Quartile	R Rankings	S Rankings	Research Activity	Student Support & Outcomes	Diversity	1:Publications per Allocated Faculty	2:Citations per Publication	3:Percent Faculty with Grants	4:Awards per Allocated Faculty Member	9:Percent 1st-yr Students with Full Support	15:Average Completion Percentage	16:Median Time to Degree	17:Percent with Academic Plans	Post-Graduation Employment  (1=Yes; -1=No)	14:Average Number of  Ph.D.s Graduated	5:Percent of Interdisciplinary Faculty	8:Average GRE Scores	10:Percent of 1st-yr Students with External funding	18:Student Workspace	19:Student Health Insurance	20:Number of Student Activities Offered	Total Faculty 	Number of Allocated Faculty	Assistant Professors as a Percent of Total Faculty	Tenured Faculty as a Percent of Total Faculty	Number of Core and New Faculty	Number of Students Enrolled	Average Annual First Year Enrollment	Percent of Students with RA	Percent of Students with TA
Public	3	3	116	121	115	114	59	0.93	0.36	20	0	77.8	22.3	5	0	1	3.6	8	753	0	-1	1	17	25	23.7	N/D	N/D	23	48	12.8	0	93.5
Private	5	1	74	86	71	98	127	1.03	0.61	71.3	0.14	100	32.2	4.5	0	1	1.6	3.3	794	0	1	1	16	30	19.45	7	93	29	5	7	0	80
Public	4	3	65	62	69	81	97	0.88	1.26	47.5	0.18	100	34.2	6.7	50	1	3.8	36.4	777	0	1	1	16	44	28.75	7	84	28	48	10.8	2.1	29.2
Public	4	4	30	32	29	94	124	1	1.19	68.5	1.99	100	36.2	5	22.7	1	11	8.5	777	20	1	1	17	47	35.56	17	83	43	114	32.2	6	58
Public	2	1	120	126	127	104	15	0.28	0.48	11.8	0	100	37.4	5	0	1	2.2	0	771	0	1	1	17	22	22	23	77	22	20	6.2	0	94.7
Public	5	2	67	71	62	100	89	0.84	1.15	72.7	0.26	100	41	5.5	0	1	5.4	0	777	0	-1	1	16	43	41.86	9	91	43	35	16.6	6.3	65.6
Public	1	1	112	101	76	97	105	0.76	1.03	57.1	0.31	100	29.2	5.5	0	1	1.2	11.1	720	0	1	1	17	18	16.69	6	83	16	10	2	0	50
Public	3	2	74	56	74	33	91	0.87	0.65	65.1	0.71	100	35.3	5.2	73.9	1	4.8	0	792	0	1	1	16	24	22.75	13	79	24	40	12	0	53.7
Public	5	4	50	59	60	90	115	1	1.08	68.5	0.06	95.5	31.1	5.75	40	1	6.8	8.9	800	0	1	1	16	56	48.63	9	86	51	81	17.8	3.8	57
Public	2	4	15	16	22	84	100	1.57	1.1	72.6	0.56	100	34	5.73	41.7	1	13.2	7	800	12.9	1	1	17	57	51.3	14	N/D	53	138	30.8	0	77.2
Public	2	2	109	119	110	113	85	0.48	0.4	67.9	0.19	85.7	32.8	5.5	0	1	2.2	0	777	0	-1	1	13	36	36	17	78	35	36	7.4	0	69.7
Private	4	2	48	31	55	24	83	1.08	0.88	69.7	0.46	100	56.5	4.99	61.1	1	4.6	30.4	800	0	1	1	16	46	32.9	7	89	32	32	7.2	0	34.4
Public	3	2	93	82	90	60	65	0.8	0.65	57.6	0.02	100	44.1	3	0	1	5.4	24.6	771	0	-1	1	17	65	44.76	14	80	49	30	12	7.4	88.9
Private	2	2	78	90	97	77	106	0.72	0.66	55	0.1	83.3	36.6	4.74	50	1	3	0	792	0	1	1	18	20	19.55	15	85	20	38	9.4	2.5	47.5
Public	2	1	115	91	97	75	8	0.87	0.47	45.8	0.12	100	49.1	4.67	0	1	3.2	0	777	0	-1	1	14	33	33	9	88	33	26	5.8	0	81
Public	2	1	110	97	117	51	93	0.69	0.64	20.2	0	100	68.8	5.36	0	1	2	6.3	798	0	-1	1	18	16	15.39	13	88	15	9	1.75	0	0
Private	1	2	11	13	13	61	75	0.69	1.48	65	4.33	100	63.5	5.5	30.8	1	5.8	0	798	0	1	1	18	16	14.09	0	100	16	33	6	0	3
