Var 1	Var 2	Var 3	Var 4	Var 5	Var 6	Var 7	Var 8	Var 9	Var 10	Var 11	Var 12	Var 13	Var 14	Var 15	Var 16	Var 17	Var 18	Var 19	Var 20	Var 21	Var 22	Var 23	Var 24	Var 25	Var 26	Var 27	Var 28	Var 29	Var 30	Var 31	Var 32	Var 33	Var 35	Var 32
0	0.5698715331	0.7330993097	0	0.0419161677	0.664514756	0.0806627147	0.2688935745	0.0274143302	0.5068493151	0.0717639168	0.5752713374	0	0.0967741935	0.6086956522	0.8125	0.2222222222	0	0.8051948052	0.1902985075	0.2054794521	0.4756944444	0.6666666667	0.2666666667	0	0	0	0	0	0	0.2285714286	0	0.5416666667	0	0.5333935894
0	0.7069133398	0.8054730005	0	0.0585495675	0.8737939841	0.0384935837	0.3060703585	0.0180685358	0.7123287671	0.0972501677	0.7054411712	0	0.2580645161	0.652173913	1	0.3333333333	0	0.9480519481	0.2276119403	0.2328767123	0.5659722222	0.9444444444	0.4	0	0	0	0	0	0.6	0.3142857143	0	0.6666666667	0	0.3709261763
0	0.6658133618	0.8506874078	0.0234517447	0.0512308716	0.8017877412	0.0515254318	0.2705582066	0.0205607477	0.7534246575	0.0831656606	0.6774600656	0	0.1612903226	0.5217391304	0.859375	0.3333333333	0	0.8441558442	0.1940298507	0.301369863	0.6493055556	0.8333333333	0.4	0	0	0	0	0	0	0.3428571429	0	0.625	0	0.3021968582
0	0.5302792349	0.6018681035	0.0350833071	0.0931470393	0.6723893303	0.1383313334	0.2470314061	0.0193146417	0.4657534247	0.0992622401	0.529838099	0	0.6451612903	0.5652173913	0.828125	0.3333333333	0	0.8701298701	0.2313432836	0.2328767123	0.4722222222	1	1	0	0	0	0	0	0	0.2857142857	0	1	0	0.6721743742
0	0.664886767	0.6889178744	0.1907576234	0.1370592149	0.6791288309	0.1366051816	0.2673399179	0.0218068536	0.904109589	0.1126760563	0.6705008474	0	0.3225806452	0.5217391304	0.953125	0.3333333333	0	0.9090909091	0.2425373134	0.3150684932	0.5381944444	0.7777777778	0	0	0	0	0	0	0.6	0.3428571429	0	0.4583333333	0	0.4117110993
0	0.7302823759	0.6908437542	0.0502357749	0.0598802395	0.6831015891	0.106016815	0.2591277328	0.0392523364	0.6849315068	0.6103286385	0.8873904734	0	0.3548387097	0.5652173913	0.890625	1	0	0.7922077922	0.2089552239	0.1917808219	0.5104166667	0.6666666667	0.2	0	0	0	0	0	0.8	1	0	0.4583333333	0	0.4026801521
0	0.6802148444	0.7687762346	0	0.0548902196	0.7900822928	0.0483920477	0.3012984131	0.0218068536	0.6575342466	0.2850435949	0.9312010962	0	0.2903225806	0.6956521739	0.96875	0.7777777778	0	0.987012987	0.2611940299	0.2328767123	0.4826388889	0.8888888889	0.3333333333	0	0	0	0	0	0	0.7142857143	0	0.625	0	0.38805435
0	0.6489147847	0.864177321	0	0.0522288756	0.8178206583	0.1182314319	0.2895350128	0.0186915888	0.5753424658	0.0375586854	0.4534309307	0	0.064516129	0.652173913	0.6875	0.1111111111	0	0.8051948052	0.2276119403	0.1917808219	0.6875	0.7777777778	0.4	0	0	0	0	0.8888888889	0	0.2	0	0.5833333333	0	0.209071284
0	0.6606464177	0.6863266905	0.0458346432	0.1037924152	0.7772417707	0.1183829187	0.2958606148	0.0137071651	0.5890410959	0.0938967136	0.6346230123	0	0.1935483871	0.8695652174	0.921875	0.2222222222	0	1	0.25	0.2739726027	0.53125	0.8888888889	0.4	0	0	0	0	0.7777777778	0	0.2857142857	0	0.75	0	0.4657473874
0	0.8191726607	0.8735353465	0.0716755737	0.0445775116	0.8432888763	0.0641347116	0.275330152	0.0137071651	1	0.0912139504	0.6440341831	0	0.1935483871	0.652173913	0.9375	0.2222222222	0	0.8571428571	0.1753731343	0.2328767123	0.4965277778	0.6666666667	0	0	0	0	0	0	0	0.2571428571	0	0.5833333333	0	0.1635729385
